iter	Passed	Remaining
0	16	16409
1	31	15488
2	45	15104
3	58	14648
4	73	14679
5	89	14806
6	103	14708
7	118	14677
8	132	14632
9	148	14673
10	163	14656
11	177	14629
12	191	14514
13	205	14453
14	219	14408
15	234	14391
16	246	14225
17	261	14288
18	274	14186
19	289	14165
20	303	14165
21	318	14153
22	332	14123
23	346	14073
24	358	13996
25	373	14008
26	388	14004
27	402	13975
28	418	14010
29	432	13978
30	446	13969
31	461	13962
32	476	13966
33	490	13940
34	503	13892
35	519	13905
36	533	13894
37	547	13872
38	561	13828
39	575	13808
40	591	13824
41	604	13792
42	620	13817
43	635	13811
44	650	13804
45	665	13796
46	678	13764
47	694	13779
48	709	13763
49	722	13721
50	737	13725
51	751	13708
52	766	13697
53	781	13687
54	796	13682
55	811	13673
56	826	13667
57	841	13674
58	856	13660
59	871	13647
60	886	13641
61	900	13627
62	915	13613
63	929	13588
64	943	13572
65	958	13558
66	972	13540
67	986	13517
68	1000	13499
69	1015	13493
70	1030	13485
71	1045	13476
72	1060	13472
73	1074	13444
74	1089	13432
75	1103	13419
76	1120	13428
77	1134	13415
78	1149	13402
79	1164	13390
80	1178	13370
81	1193	13357
82	1207	13342
83	1221	13323
84	1238	13332
85	1254	13335
86	1269	13324
87	1284	13314
88	1299	13298
89	1313	13285
90	1327	13263
91	1342	13252
92	1359	13262
93	1374	13245
94	1388	13227
95	1402	13204
96	1415	13173
97	1428	13144
98	1443	13134
99	1458	13128
100	1473	13114
101	1489	13112
102	1503	13096
103	1517	13078
104	1532	13064
105	1545	13033
106	1559	13013
107	1573	12993
108	1587	12975
109	1601	12959
110	1616	12943
111	1629	12922
112	1643	12902
113	1658	12892
114	1673	12874
115	1686	12853
116	1701	12841
117	1715	12825
118	1730	12808
119	1744	12795
120	1759	12784
121	1775	12775
122	1789	12755
123	1803	12742
124	1818	12726
125	1832	12711
126	1847	12698
127	1861	12683
128	1877	12678
129	1892	12665
130	1907	12650
131	1921	12638
132	1934	12613
133	1949	12597
134	1962	12576
